unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609915620,2021-01-06 06:47:00,BTC/USD,35114.34,35145.90,35101.00,35111.47,3.80122548,133466.6144042556
1609915560,2021-01-06 06:46:00,BTC/USD,35048.21,35134.92,35048.21,35134.92,0.82418292,28957.6009595664
1609915500,2021-01-06 06:45:00,BTC/USD,35023.36,35071.94,35000.15,35048.21,8.79724298,308327.6193840658
1609915440,2021-01-06 06:44:00,BTC/USD,35055.04,35070.45,35027.20,35044.56,9.42232899,330201.3736297944
1609915380,2021-01-06 06:43:00,BTC/USD,35075.16,35078.63,35044.30,35059.12,6.88915578,241527.73918971364
1609915320,2021-01-06 06:42:00,BTC/USD,35069.88,35083.58,35061.50,35075.16,1.66959683,58561.3759477428
1609915260,2021-01-06 06:41:00,BTC/USD,35049.02,35070.19,35024.64,35068.43,2.63924984,92554.34826655121
1609915200,2021-01-06 06:40:00,BTC/USD,34969.26,35037.55,34969.26,35037.55,5.77757325,202432.0116255375
1609915140,2021-01-06 06:39:00,BTC/USD,35008.50,35032.58,34970.43,34970.43,2.74409317,95962.1181149631
1609915080,2021-01-06 06:38:00,BTC/USD,35016.79,35016.79,34907.82,35001.13,3.28695658,115047.19456093539
1609915020,2021-01-06 06:37:00,BTC/USD,34958.73,35051.23,34958.73,34991.57,4.96454525,173717.23263354247
1609914960,2021-01-06 06:36:00,BTC/USD,35029.04,35050.00,34938.64,34968.00,20.21414873,706848.3527906401
1609914900,2021-01-06 06:35:00,BTC/USD,35166.30,35166.30,34987.04,35040.00,34.88916021,1222516.1737584
1609914840,2021-01-06 06:34:00,BTC/USD,35178.00,35186.15,35166.05,35166.30,1.66113809,58416.080414367
1609914780,2021-01-06 06:33:00,BTC/USD,35209.31,35219.33,35173.79,35173.79,3.93789222,138510.5939889138
1609914720,2021-01-06 06:32:00,BTC/USD,35192.28,35223.51,35175.25,35194.39,4.61944057,162578.3930024023
1609914660,2021-01-06 06:31:00,BTC/USD,35226.12,35226.12,35179.41,35192.59,3.08225756,108472.62658348039
1609914600,2021-01-06 06:30:00,BTC/USD,35247.15,35272.32,35211.54,35211.54,10.32567642,363582.96828988683
1609914540,2021-01-06 06:29:00,BTC/USD,35320.00,35320.00,35255.27,35255.27,3.89970207,137485.04939740887
1609914480,2021-01-06 06:28:00,BTC/USD,35288.48,35343.98,35288.48,35325.42,3.62182955,127942.650022161
1609914420,2021-01-06 06:27:00,BTC/USD,35294.62,35326.94,35281.61,35288.87,7.66105768,270350.0685320216
1609914360,2021-01-06 06:26:00,BTC/USD,35310.09,35330.22,35262.87,35292.41,5.17515272,182643.6116068552
1609914300,2021-01-06 06:25:00,BTC/USD,35329.08,35336.13,35267.76,35313.39,6.55228849,231383.5188398811
1609914240,2021-01-06 06:24:00,BTC/USD,35338.74,35366.69,35322.68,35322.68,6.77601664,239347.0674493952
1609914180,2021-01-06 06:23:00,BTC/USD,35321.17,35366.69,35298.94,35348.31,5.38969923,190516.75918880128
1609914120,2021-01-06 06:22:00,BTC/USD,35253.86,35345.69,35253.86,35325.16,11.86753519,419222.57939238043
1609914060,2021-01-06 06:21:00,BTC/USD,35209.48,35276.37,35198.95,35252.10,24.44540062,861751.707196302
1609914000,2021-01-06 06:20:00,BTC/USD,35182.49,35200.03,35150.18,35200.03,3.79609332,133622.5987467996
1609913940,2021-01-06 06:19:00,BTC/USD,35202.12,35214.35,35175.19,35210.09,5.91546923,208284.2039805307
1609913880,2021-01-06 06:18:00,BTC/USD,35198.48,35235.91,35181.23,35192.42,7.25242485,255230.38133963698
1609913820,2021-01-06 06:17:00,BTC/USD,35196.60,35196.60,35133.01,35191.39,6.82677312,240243.6353074368
1609913760,2021-01-06 06:16:00,BTC/USD,35210.89,35217.20,35108.55,35174.94,8.04041607,282821.1528372858
1609913700,2021-01-06 06:15:00,BTC/USD,35227.28,35240.46,35206.85,35206.85,3.29816803,116118.10710700549
